"slug","bullet1","bullet2","bullet3","bullet4","bullet5"
"sarl-unipersonnelle-inconvenient","Le formalisme est lourd : statuts, capital, annonce légale, comptabilité d'engagement et dépôt annuel des comptes, ce qui impose souvent un expert-comptable.","Le gérant TNS a une protection sociale limitée : retraite plus faible, indemnités journalières réduites, pas d'assurance chômage.","Les dividendes sont soumis aux cotisations sociales au-delà de 10 % du capital, contrairement à la SASU.","La responsabilité limitée reste théorique : les banques exigent une caution personnelle et une faute de gestion peut engager le patrimoine.",""
"liquidation-judiciaire-simplifiee-sarl","La procédure simplifiée vise les TPE en cessation de paiements : 6 à 9 mois au lieu de 18 à 36, et un coût réduit.","Obligatoire si la SARL n'a pas d'immobilier, emploie au plus 1 salarié et réalise au plus 300 000 € HT de CA ; facultative jusqu'à 5 salariés et 750 000 €.","Le gérant doit déclarer la cessation des paiements dans les 45 jours sous peine d'interdiction de gérer pour faute de gestion.","Le liquidateur vend les actifs et rembourse les créanciers selon un ordre de priorité strict ; la clôture intervient le plus souvent pour insuffisance d'actif.",""
"liquidation-sasu-avec-dettes","Tout dépend de la cessation des paiements : si l'actif disponible couvre le passif exigible, la liquidation amiable reste possible, sinon la voie judiciaire est obligatoire.","La liquidation amiable se déroule en trois étapes : dissolution volontaire en AGE, vente des actifs et apurement, puis radiation au RCS.","En cas de cessation des paiements, le président doit déposer le bilan dans les 45 jours pour éviter une responsabilité personnelle.","L'accompagnement par un expert-comptable est essentiel pour poser le diagnostic financier et choisir la procédure adaptée.",""
"sarl-en-liquidation-judiciaire","Deux conditions cumulatives : cessation des paiements (passif exigible > actif disponible) et redressement manifestement impossible.","Le gérant dispose de 45 jours pour déclarer la cessation des paiements ; tout retard constitue une faute de gestion sanctionnable.","Le tribunal nomme un juge-commissaire et un liquidateur qui prend la main sur la gestion, vend les actifs et paie les créanciers selon leur rang.","La clôture intervient le plus souvent pour insuffisance d'actif : la SARL est radiée du RCS et cesse d'exister juridiquement.",""
"fermeture-sarl-sans-dettes","Procédure réservée aux SARL solvables : dissolution amiable décidée en AGE puis liquidation par un liquidateur (gérant, associé ou tiers).","Quorum et majorité dépendent de la date de création (avant ou après le 4 août 2005), avec vérification systématique des statuts.","Après l'AGE : annonce légale et déclaration au Guichet Unique sous un mois, mention « société en liquidation » obligatoire sur tous les documents.","Le liquidateur a trois ans maximum pour vendre les actifs, régler les créanciers, établir les comptes de clôture puis radier la société.",""
"sarl-dissolution-sans-liquidation","La dissolution sans liquidation transfère l'intégralité du patrimoine en bloc plutôt que de vendre les actifs un par un, procédure plus rapide et souvent plus avantageuse fiscalement.","La transmission universelle de patrimoine (TUP) est réservée aux EURL dont l'associé unique est une personne morale, pas un particulier.","La fusion-absorption permet aussi d'éviter la liquidation : la SARL absorbée transmet ses actifs et passifs à l'absorbante, en échange de parts pour ses associés.","Ces procédures sont surtout utilisées dans les restructurations de groupes pour préserver la valeur des actifs et la continuité de l'activité.",""
"mention-obligatoire-tampon-entreprise-individuelle","Le tampon n'est pas obligatoire en entreprise individuelle ; ce sont les mentions légales sur les documents commerciaux qui le sont.","Mentions essentielles : nom et prénom, mention « Entrepreneur Individuel » ou « EI », adresse du siège et numéro SIRET.","Mentions selon situation : RCS pour les commerçants, numéro de TVA intracommunautaire si redevable, ou mention « TVA non applicable, art. 293 B du CGI » en franchise.","Depuis le 15 mai 2022, l'oubli de la mention « EI » sur les documents et le compte bancaire dédié peut entraîner une amende.",""
"attestation-de-vigilance-sasu","L'attestation de vigilance, délivrée par l'URSSAF, prouve que la SASU est à jour de ses déclarations et de ses cotisations sociales.","Elle est obligatoire pour tout contrat d'au moins 5 000 € HT, et doit être renouvelée tous les six mois jusqu'à la fin de la mission.","Si la SASU emploie des salariés ou rémunère son président, l'attestation se télécharge directement depuis l'espace URSSAF en ligne.","Le donneur d'ordre qui ne vérifie pas l'attestation peut être tenu solidairement responsable des dettes sociales de son prestataire.",""
"kbis-cessation-d-activite","Le Kbis reflète la situation réelle de l'entreprise : toute cessation, temporaire ou définitive, doit y être déclarée pour mettre à jour son statut.","La cessation temporaire (mise en sommeil) est une pause jusqu'à un an pour une personne physique, deux ans pour une société, avec maintien de l'immatriculation au RCS.","La cessation définitive aboutit à la radiation du RCS et à la disparition de la personnalité morale de l'entreprise.","Toutes les démarches passent désormais par le Guichet Unique de l'INPI, canal exclusif depuis le 1er janvier 2025.",""
"kbis-entreprise-individuelle-agricole","Le Kbis (et l'extrait K) est réservé aux activités commerciales inscrites au RCS ; l'agriculture étant civile, l'EI agricole n'est généralement pas concernée.","L'exploitant agricole prouve son existence avec l'avis de situation au répertoire Sirene de l'INSEE et l'extrait du Registre National des Entreprises (RNE).","Depuis 2023, le RNE centralise tous les anciens registres (RCS, RM, Registre de l'Agriculture) et fait office d'équivalent moderne de l'extrait K.","Un Kbis devient nécessaire si l'activité prend une dimension commerciale prépondérante, ou si l'exploitant opte pour une structure sociétaire.",""
